# Export File Created with QBlade CE v2.0.9_beta windows on 24.05.2026 at 20:17:23
NREL's_S826_Airfoil_Re1.300_M0.10_N3.0 360 V;NREL's_S826_Airfoil_Re1.600_M0.10_N3.0
Angle of Attack [deg];Lift Coefficient Cl [-];Angle of Attack [deg];Lift Coefficient Cl [-]
-1.8000000e+02;2.2109678e-16;-1.4000000e+01;-2.3100001e-01
-1.7900000e+02;3.1504679e-02;-1.2000000e+01;-5.2270001e-01
-1.7800000e+02;6.2970974e-02;-1.1000000e+01;-5.1529998e-01
-1.7700000e+02;9.4360545e-02;-1.0000000e+01;-4.3410000e-01
-1.7600000e+02;1.2563516e-01;-9.0000000e+00;-3.5100001e-01
-1.7500000e+02;1.5675670e-01;-8.0000000e+00;-2.4840000e-01
-1.7400000e+02;1.8768726e-01;-7.0000000e+00;-1.3650000e-01
-1.7300000e+02;2.1838915e-01;-6.0000000e+00;-2.0500001e-02
-1.7200000e+02;2.4882497e-01;-5.0000000e+00;9.6500002e-02
-1.7100000e+02;2.7895764e-01;-4.0000000e+00;2.1390000e-01
-1.7000000e+02;3.0875042e-01;-3.0000000e+00;3.3280000e-01
-1.6900000e+02;3.3816707e-01;-2.0000000e+00;4.5609999e-01
-1.6800000e+02;3.6717170e-01;-1.0000000e+00;5.7169998e-01
-1.6700000e+02;3.9572898e-01;0.0000000e+00;6.8660003e-01
-1.6600000e+02;4.2380413e-01;1.0000000e+00;8.0059999e-01
-1.6500000e+02;4.5136294e-01;2.0000000e+00;9.1100001e-01
-1.6400000e+02;4.7837183e-01;3.0000000e+00;1.0124000e+00
-1.6300000e+02;5.0479788e-01;4.0000000e+00;1.1078000e+00
-1.6200000e+02;5.3060895e-01;5.0000000e+00;1.2018000e+00
-1.6100000e+02;5.5577356e-01;6.0000000e+00;1.2941000e+00
-1.6000000e+02;5.8026099e-01;7.0000000e+00;1.3755000e+00
-1.5900000e+02;6.0404152e-01;8.0000000e+00;1.4420000e+00
-1.5800000e+02;6.2708610e-01;9.0000000e+00;1.5084000e+00
-1.5700000e+02;6.4936668e-01;1.0000000e+01;1.5690000e+00
-1.5600000e+02;6.7085606e-01;1.1000000e+01;1.6210999e+00
-1.5500000e+02;6.9152814e-01;1.2000000e+01;1.6628000e+00
-1.5400000e+02;7.1135771e-01;1.3000000e+01;1.6962000e+00
-1.5300000e+02;7.3032057e-01;1.4000000e+01;1.7204000e+00
-1.5200000e+02;7.4839365e-01;1.5000000e+01;1.7358000e+00
-1.5100000e+02;7.6555496e-01;1.6000000e+01;1.7413000e+00
-1.5000000e+02;7.8178352e-01;1.7000000e+01;1.7359999e+00
-1.4900000e+02;7.9705966e-01;END;END
-1.4800000e+02;8.1136465e-01;END;END
-1.4700000e+02;8.2468110e-01;END;END
-1.4600000e+02;8.3699286e-01;END;END
-1.4500000e+02;8.4828484e-01;END;END
-1.4400000e+02;8.5854334e-01;END;END
-1.4300000e+02;8.6775583e-01;END;END
-1.4200000e+02;8.7591106e-01;END;END
-1.4100000e+02;8.8299912e-01;END;END
-1.4000000e+02;8.8901144e-01;END;END
-1.3900000e+02;8.9394063e-01;END;END
-1.3800000e+02;8.9778066e-01;END;END
-1.3700000e+02;9.0052688e-01;END;END
-1.3600000e+02;9.0217596e-01;END;END
-1.3500000e+02;9.0272588e-01;END;END
-1.3400000e+02;9.0217596e-01;END;END
-1.3300000e+02;9.0052688e-01;END;END
-1.3200000e+02;8.9778066e-01;END;END
-1.3100000e+02;8.9394063e-01;END;END
-1.3000000e+02;8.8901144e-01;END;END
-1.2900000e+02;8.8299912e-01;END;END
-1.2800000e+02;8.7591106e-01;END;END
-1.2700000e+02;8.6775583e-01;END;END
-1.2600000e+02;8.5854334e-01;END;END
-1.2500000e+02;8.4828484e-01;END;END
-1.2400000e+02;8.3699286e-01;END;END
-1.2300000e+02;8.2468110e-01;END;END
-1.2200000e+02;8.1136465e-01;END;END
-1.2100000e+02;7.9705966e-01;END;END
-1.2000000e+02;7.8178352e-01;END;END
-1.1900000e+02;7.6555496e-01;END;END
-1.1800000e+02;7.4839365e-01;END;END
-1.1700000e+02;7.3032057e-01;END;END
-1.1600000e+02;7.1135771e-01;END;END
-1.1500000e+02;6.9152814e-01;END;END
-1.1400000e+02;6.7085606e-01;END;END
-1.1300000e+02;6.4936668e-01;END;END
-1.1200000e+02;6.2708610e-01;END;END
-1.1100000e+02;6.0404152e-01;END;END
-1.1000000e+02;5.8026099e-01;END;END
-1.0900000e+02;5.5577356e-01;END;END
-1.0800000e+02;5.3060895e-01;END;END
-1.0700000e+02;5.0479788e-01;END;END
-1.0600000e+02;4.7837183e-01;END;END
-1.0500000e+02;4.5136294e-01;END;END
-1.0400000e+02;4.2380413e-01;END;END
-1.0300000e+02;3.9572898e-01;END;END
-1.0200000e+02;3.6717170e-01;END;END
-1.0100000e+02;3.3816707e-01;END;END
-1.0000000e+02;3.0875042e-01;END;END
-9.9000000e+01;2.7895764e-01;END;END
-9.8000000e+01;2.4882497e-01;END;END
-9.7000000e+01;2.1838915e-01;END;END
-9.6000000e+01;1.8768726e-01;END;END
-9.5000000e+01;1.5675670e-01;END;END
-9.4000000e+01;1.2563516e-01;END;END
-9.3000000e+01;9.4360545e-02;END;END
-9.2000000e+01;6.2970974e-02;END;END
-9.1000000e+01;3.1504679e-02;END;END
-9.0000000e+01;-1.1021457e-16;END;END
-8.9000000e+01;-3.1420611e-02;END;END
-8.8000000e+01;-6.2825091e-02;END;END
-8.7000000e+01;-9.4175234e-02;END;END
-8.6000000e+01;-1.2543295e-01;END;END
-8.5000000e+01;-1.5656030e-01;END;END
-8.4000000e+01;-1.8751955e-01;END;END
-8.3000000e+01;-2.1827318e-01;END;END
-8.2000000e+01;-2.4878402e-01;END;END
-8.1000000e+01;-2.7901518e-01;END;END
-8.0000000e+01;-3.0893019e-01;END;END
-7.9000000e+01;-3.3849302e-01;END;END
-7.8000000e+01;-3.6766806e-01;END;END
-7.7000000e+01;-3.9642027e-01;END;END
-7.6000000e+01;-4.2471513e-01;END;END
-7.5000000e+01;-4.5251879e-01;END;END
-7.4000000e+01;-4.7979796e-01;END;END
-7.3000000e+01;-5.0652015e-01;END;END
-7.2000000e+01;-5.3265345e-01;END;END
-7.1000000e+01;-5.5816686e-01;END;END
-7.0000000e+01;-5.8303010e-01;END;END
-6.9000000e+01;-6.0721385e-01;END;END
-6.8000000e+01;-6.3068956e-01;END;END
-6.7000000e+01;-6.5342963e-01;END;END
-6.6000000e+01;-6.7540753e-01;END;END
-6.5000000e+01;-6.9659752e-01;END;END
-6.4000000e+01;-7.1697515e-01;END;END
-6.3000000e+01;-7.3651677e-01;END;END
-6.2000000e+01;-7.5520003e-01;END;END
-6.1000000e+01;-7.7300364e-01;END;END
-6.0000000e+01;-7.8990746e-01;END;END
-5.9000000e+01;-8.0589259e-01;END;END
-5.8000000e+01;-8.2094121e-01;END;END
-5.7000000e+01;-8.3503693e-01;END;END
-5.6000000e+01;-8.4816456e-01;END;END
-5.5000000e+01;-8.6031020e-01;END;END
-5.4000000e+01;-8.7146127e-01;END;END
-5.3000000e+01;-8.8160652e-01;END;END
-5.2000000e+01;-8.9073622e-01;END;END
-5.1000000e+01;-8.9884186e-01;END;END
-5.0000000e+01;-9.0591651e-01;END;END
-4.9000000e+01;-9.1195452e-01;END;END
-4.8000000e+01;-9.1695189e-01;END;END
-4.7000000e+01;-9.2090607e-01;END;END
-4.6000000e+01;-9.2381591e-01;END;END
-4.5000000e+01;-9.2568195e-01;END;END
-4.4000000e+01;-9.2650628e-01;END;END
-4.3000000e+01;-9.2629254e-01;END;END
-4.2000000e+01;-9.2504609e-01;END;END
-4.1000000e+01;-9.2277384e-01;END;END
-4.0000000e+01;-9.1948462e-01;END;END
-3.9000000e+01;-9.1518873e-01;END;END
-3.8000000e+01;-9.0989852e-01;END;END
-3.7000000e+01;-9.0362811e-01;END;END
-3.6000000e+01;-8.9639348e-01;END;END
-3.5000000e+01;-8.8821274e-01;END;END
-3.4000000e+01;-8.7910604e-01;END;END
-3.3000000e+01;-8.6909568e-01;END;END
-3.2000000e+01;-8.5820639e-01;END;END
