# Export File Created with QBlade CE v2.0.9_beta windows on 24.05.2026 at 20:11:24
NREL's_S826_Airfoil_Re0.500_M0.30_N9.0 360 V;NREL's_S826_Airfoil_Re1.600_M0.10_N3.0
Angle of Attack [deg];Drag Coefficient Cd [-];Angle of Attack [deg];Drag Coefficient Cd [-]
-1.8000000e+02;6.0000001e-03;-1.4000000e+01;1.3313000e-01
-1.7900000e+02;6.5482557e-03;-1.2000000e+01;3.1679999e-02
-1.7800000e+02;8.1923548e-03;-1.1000000e+01;2.2469999e-02
-1.7700000e+02;1.0930294e-02;-1.0000000e+01;1.6550001e-02
-1.7600000e+02;1.4758738e-02;-9.0000000e+00;1.3960000e-02
-1.7500000e+02;1.9673022e-02;-8.0000000e+00;1.1950000e-02
-1.7400000e+02;2.5667159e-02;-7.0000000e+00;1.0600000e-02
-1.7300000e+02;3.2733846e-02;-6.0000000e+00;9.6300002e-03
-1.7200000e+02;4.0864471e-02;-5.0000000e+00;8.9900000e-03
-1.7100000e+02;5.0049134e-02;-4.0000000e+00;8.5100001e-03
-1.7000000e+02;6.0276639e-02;-3.0000000e+00;7.9399999e-03
-1.6900000e+02;7.1534529e-02;-2.0000000e+00;6.7799999e-03
-1.6800000e+02;8.3809085e-02;-1.0000000e+00;6.8299999e-03
-1.6700000e+02;9.7085357e-02;0.0000000e+00;6.9400002e-03
-1.6600000e+02;1.1134716e-01;1.0000000e+00;7.1100001e-03
-1.6500000e+02;1.2657714e-01;2.0000000e+00;7.5099999e-03
-1.6400000e+02;1.4275672e-01;3.0000000e+00;8.6300001e-03
-1.6300000e+02;1.5986618e-01;4.0000000e+00;1.0200000e-02
-1.6200000e+02;1.7788470e-01;5.0000000e+00;1.1660000e-02
-1.6100000e+02;1.9679032e-01;6.0000000e+00;1.2990000e-02
-1.6000000e+02;2.1655999e-01;7.0000000e+00;1.4590000e-02
-1.5900000e+02;2.3716965e-01;8.0000000e+00;1.6600000e-02
-1.5800000e+02;2.5859419e-01;9.0000000e+00;1.8680001e-02
-1.5700000e+02;2.8080747e-01;1.0000000e+01;2.1190001e-02
-1.5600000e+02;3.0378243e-01;1.1000000e+01;2.4429999e-02
