# Export File Created with QBlade CE v2.0.9_beta windows on 24.05.2026 at 20:07:31
NREL's_S826_Airfoil_Re0.200_M0.10_N3.0 360 V;NREL's_S826_Airfoil_Re1.600_M0.10_N3.0
Angle of Attack [deg];Lift Coefficient Cl [-];Angle of Attack [deg];Lift Coefficient Cl [-]
-1.8000000e+02;2.2109678e-16;-1.4000000e+01;-2.3100001e-01
-1.7900000e+02;3.1504679e-02;-1.2000000e+01;-5.2270001e-01
-1.7800000e+02;6.2970974e-02;-1.1000000e+01;-5.1529998e-01
-1.7700000e+02;9.4360545e-02;-1.0000000e+01;-4.3410000e-01
-1.7600000e+02;1.2563516e-01;-9.0000000e+00;-3.5100001e-01
-1.7500000e+02;1.5675670e-01;-8.0000000e+00;-2.4840000e-01
-1.7400000e+02;1.8768726e-01;-7.0000000e+00;-1.3650000e-01
-1.7300000e+02;2.1838915e-01;-6.0000000e+00;-2.0500001e-02
-1.7200000e+02;2.4882497e-01;-5.0000000e+00;9.6500002e-02
-1.7100000e+02;2.7895764e-01;-4.0000000e+00;2.1390000e-01
-1.7000000e+02;3.0875042e-01;-3.0000000e+00;3.3280000e-01
-1.6900000e+02;3.3816707e-01;-2.0000000e+00;4.5609999e-01
-1.6800000e+02;3.6717170e-01;-1.0000000e+00;5.7169998e-01
-1.6700000e+02;3.9572898e-01;0.0000000e+00;6.8660003e-01
-1.6600000e+02;4.2380413e-01;1.0000000e+00;8.0059999e-01
-1.6500000e+02;4.5136294e-01;2.0000000e+00;9.1100001e-01
-1.6400000e+02;4.7837183e-01;3.0000000e+00;1.0124000e+00
-1.6300000e+02;5.0479788e-01;4.0000000e+00;1.1078000e+00
-1.6200000e+02;5.3060895e-01;5.0000000e+00;1.2018000e+00
-1.6100000e+02;5.5577356e-01;6.0000000e+00;1.2941000e+00
-1.6000000e+02;5.8026099e-01;7.0000000e+00;1.3755000e+00
-1.5900000e+02;6.0404152e-01;8.0000000e+00;1.4420000e+00
-1.5800000e+02;6.2708610e-01;9.0000000e+00;1.5084000e+00
-1.5700000e+02;6.4936668e-01;1.0000000e+01;1.5690000e+00
-1.5600000e+02;6.7085606e-01;1.1000000e+01;1.6210999e+00
-1.5500000e+02;6.9152814e-01;1.2000000e+01;1.6628000e+00
-1.5400000e+02;7.1135771e-01;1.3000000e+01;1.6962000e+00
-1.5300000e+02;7.3032057e-01;1.4000000e+01;1.7204000e+00
-1.5200000e+02;7.4839365e-01;1.5000000e+01;1.7358000e+00
-1.5100000e+02;7.6555496e-01;1.6000000e+01;1.7413000e+00
-1.5000000e+02;7.8178352e-01;1.7000000e+01;1.7359999e+00
-1.4900000e+02;7.9705966e-01;END;END
-1.4800000e+02;8.1136465e-01;END;END
-1.4700000e+02;8.2468110e-01;END;END
-1.4600000e+02;8.3699286e-01;END;END
-1.4500000e+02;8.4828484e-01;END;END
-1.4400000e+02;8.5854334e-01;END;END
-1.4300000e+02;8.6775583e-01;END;END
-1.4200000e+02;8.7591106e-01;END;END
-1.4100000e+02;8.8299912e-01;END;END
-1.4000000e+02;8.8901144e-01;END;END
-1.3900000e+02;8.9394063e-01;END;END
-1.3800000e+02;8.9778066e-01;END;END
-1.3700000e+02;9.0052688e-01;END;END
-1.3600000e+02;9.0217596e-01;END;END
-1.3500000e+02;9.0272588e-01;END;END
-1.3400000e+02;9.0217596e-01;END;END
-1.3300000e+02;9.0052688e-01;END;END
-1.3200000e+02;8.9778066e-01;END;END
-1.3100000e+02;8.9394063e-01;END;END
-1.3000000e+02;8.8901144e-01;END;END
-1.2900000e+02;8.8299912e-01;END;END
-1.2800000e+02;8.7591106e-01;END;END
-1.2700000e+02;8.6775583e-01;END;END
-1.2600000e+02;8.5854334e-01;END;END
-1.2500000e+02;8.4828484e-01;END;END
-1.2400000e+02;8.3699286e-01;END;END
-1.2300000e+02;8.2468110e-01;END;END
-1.2200000e+02;8.1136465e-01;END;END
-1.2100000e+02;7.9705966e-01;END;END
-1.2000000e+02;7.8178352e-01;END;END
-1.1900000e+02;7.6555496e-01;END;END
-1.1800000e+02;7.4839365e-01;END;END
-1.1700000e+02;7.3032057e-01;END;END
-1.1600000e+02;7.1135771e-01;END;END
-1.1500000e+02;6.9152814e-01;END;END
-1.1400000e+02;6.7085606e-01;END;END
-1.1300000e+02;6.4936668e-01;END;END
-1.1200000e+02;6.2708610e-01;END;END
-1.1100000e+02;6.0404152e-01;END;END
-1.1000000e+02;5.8026099e-01;END;END
-1.0900000e+02;5.5577356e-01;END;END
-1.0800000e+02;5.3060895e-01;END;END
-1.0700000e+02;5.0479788e-01;END;END
-1.0600000e+02;4.7837183e-01;END;END
-1.0500000e+02;4.5136294e-01;END;END
-1.0400000e+02;4.2380413e-01;END;END
-1.0300000e+02;3.9572898e-01;END;END
-1.0200000e+02;3.6717170e-01;END;END
-1.0100000e+02;3.3816707e-01;END;END
-1.0000000e+02;3.0875042e-01;END;END
-9.9000000e+01;2.7895764e-01;END;END
-9.8000000e+01;2.4882497e-01;END;END
-9.7000000e+01;2.1838915e-01;END;END
-9.6000000e+01;1.8768726e-01;END;END
-9.5000000e+01;1.5675670e-01;END;END
-9.4000000e+01;1.2563516e-01;END;END
-9.3000000e+01;9.4360545e-02;END;END
-9.2000000e+01;6.2970974e-02;END;END
-9.1000000e+01;3.1504679e-02;END;END
-9.0000000e+01;-1.1021457e-16;END;END
-8.9000000e+01;-3.1405337e-02;END;END
-8.8000000e+01;-6.2763989e-02;END;END
-8.7000000e+01;-9.4037727e-02;END;END
-8.6000000e+01;-1.2518841e-01;END;END
-8.5000000e+01;-1.5617803e-01;END;END
-8.4000000e+01;-1.8696874e-01;END;END
-8.3000000e+01;-2.1752299e-01;END;END
-8.2000000e+01;-2.4780342e-01;END;END
-8.1000000e+01;-2.7777302e-01;END;END
-8.0000000e+01;-3.0739513e-01;END;END
-7.9000000e+01;-3.3663356e-01;END;END
-7.8000000e+01;-3.6545247e-01;END;END
-7.7000000e+01;-3.9381659e-01;END;END
-7.6000000e+01;-4.2169115e-01;END;END
-7.5000000e+01;-4.4904196e-01;END;END
-7.4000000e+01;-4.7583547e-01;END;END
-7.3000000e+01;-5.0203878e-01;END;END
-7.2000000e+01;-5.2761966e-01;END;END
-7.1000000e+01;-5.5254668e-01;END;END
-7.0000000e+01;-5.7678914e-01;END;END
-6.9000000e+01;-6.0031712e-01;END;END
-6.8000000e+01;-6.2310171e-01;END;END
-6.7000000e+01;-6.4511460e-01;END;END
-6.6000000e+01;-6.6632867e-01;END;END
-6.5000000e+01;-6.8671757e-01;END;END
-6.4000000e+01;-7.0625603e-01;END;END
-6.3000000e+01;-7.2491974e-01;END;END
-6.2000000e+01;-7.4268538e-01;END;END
-6.1000000e+01;-7.5953084e-01;END;END
-6.0000000e+01;-7.7543491e-01;END;END
-5.9000000e+01;-7.9037768e-01;END;END
-5.8000000e+01;-8.0434018e-01;END;END
-5.7000000e+01;-8.1730479e-01;END;END
-5.6000000e+01;-8.2925487e-01;END;END
-5.5000000e+01;-8.4017509e-01;END;END
-5.4000000e+01;-8.5005134e-01;END;END
-5.3000000e+01;-8.5887063e-01;END;END
-5.2000000e+01;-8.6662126e-01;END;END
-5.1000000e+01;-8.7329274e-01;END;END
-5.0000000e+01;-8.7887591e-01;END;END
-4.9000000e+01;-8.8336277e-01;END;END
-4.8000000e+01;-8.8674659e-01;END;END
-4.7000000e+01;-8.8902193e-01;END;END
-4.6000000e+01;-8.9018458e-01;END;END
-4.5000000e+01;-8.9023161e-01;END;END
-4.4000000e+01;-8.8916129e-01;END;END
-4.3000000e+01;-8.8697314e-01;END;END
-4.2000000e+01;-8.8366789e-01;END;END
-4.1000000e+01;-8.7924755e-01;END;END
-4.0000000e+01;-8.7371516e-01;END;END
-3.9000000e+01;-8.6707503e-01;END;END
-3.8000000e+01;-8.5933268e-01;END;END
-3.7000000e+01;-8.5049450e-01;END;END
-3.6000000e+01;-8.4056807e-01;END;END
-3.5000000e+01;-8.2956207e-01;END;END
-3.4000000e+01;-8.1748599e-01;END;END
-3.3000000e+01;-8.0435020e-01;END;END
-3.2000000e+01;-7.9016602e-01;END;END
